tenure,age,address,income,ed,employ,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,cardten,voice,pager,internet,callwait,confer,ebill,loglong,logtoll,lninc,custcat
47.0,40.0,16.0,127.0,4.0,12.0,1.0,1.0,0.0,19.7,0.0,28.15,14.75,0.0,909.9,0.0,680.0,0.0,0.0,1.0,0.0,0.0,1.0,2.981,3.24,4.844,2.0
23.0,50.0,1.0,151.0,4.0,8.0,0.0,0.0,0.0,8.25,21.75,0.0,0.0,0.0,186.5,438.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,3.08,5.017,1.0
4.0,35.0,16.0,161.0,5.0,6.0,1.0,0.0,1.0,3.4,23.75,49.8,0.0,35.75,10.35,103.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.224,3.168,5.081,4.0
5.0,44.0,5.0,83.0,1.0,16.0,1.0,0.0,0.0,4.65,0.0,25.25,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.537,3.24,4.419,2.0
22.0,34.0,1.0,46.0,3.0,1.0,1.0,0.0,0.0,7.1,0.0,23.4,0.0,0.0,125.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.96,3.24,3.829,2.0
36.0,45.0,22.0,117.0,3.0,15.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,429.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.351,3.24,4.762,2.0
20.0,31.0,10.0,39.0,2.0,3.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,148.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.048,3.24,3.664,1.0
11.0,26.0,2.0,53.0,3.0,3.0,1.0,1.0,1.0,4.15,21.5,43.7,11.75,38.8,34.7,188.35,110.0,1.0,1.0,1.0,1.0,0.0,1.0,1.423,3.068,3.97,4.0
3.0,37.0,13.0,24.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.693,3.24,3.178,1.0
32.0,44.0,10.0,201.0,2.0,24.0,0.0,1.0,0.0,7.65,28.0,0.0,18.5,0.0,237.85,895.05,595.0,0.0,1.0,0.0,1.0,1.0,0.0,2.035,3.332,5.303,3.0
31.0,46.0,23.0,144.0,4.0,13.0,0.0,1.0,0.0,7.6,15.25,0.0,9.75,0.0,271.55,501.15,290.0,0.0,0.0,1.0,1.0,0.0,1.0,2.028,2.725,4.97,3.0
36.0,58.0,34.0,80.0,1.0,21.0,0.0,1.0,0.0,8.5,0.0,0.0,8.5,0.0,298.25,0.0,260.0,0.0,0.0,0.0,1.0,0.0,0.0,2.14,3.24,4.382,2.0
20.0,25.0,4.0,33.0,4.0,0.0,0.0,1.0,1.0,4.55,16.0,0.0,19.25,27.05,115.65,288.75,365.0,0.0,0.0,1.0,0.0,0.0,1.0,1.515,2.773,3.497,1.0
69.0,51.0,11.0,438.0,4.0,23.0,1.0,1.0,0.0,29.0,0.0,47.05,24.75,0.0,1815.4,0.0,1655.0,0.0,1.0,1.0,0.0,1.0,0.0,3.367,3.24,6.082,4.0
19.0,26.0,2.0,48.0,3.0,0.0,0.0,1.0,0.0,7.55,0.0,0.0,6.5,0.0,156.15,0.0,105.0,1.0,0.0,0.0,1.0,0.0,0.0,2.022,3.24,3.871,3.0
46.0,42.0,9.0,52.0,4.0,7.0,0.0,1.0,0.0,14.25,0.0,0.0,21.0,0.0,611.65,0.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,2.657,3.24,3.951,2.0
23.0,30.0,9.0,30.0,1.0,2.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,157.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.841,3.24,3.401,3.0
60.0,45.0,23.0,117.0,4.0,11.0,1.0,1.0,1.0,12.4,28.0,51.7,19.5,52.9,755.7,1721.25,1135.0,1.0,1.0,1.0,1.0,1.0,1.0,2.518,3.332,4.762,4.0
35.0,61.0,23.0,41.0,2.0,11.0,0.0,1.0,0.0,9.6,0.0,0.0,9.5,0.0,353.55,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,2.262,3.24,3.714,1.0
70.0,35.0,4.0,48.0,2.0,9.0,0.0,1.0,0.0,43.6,0.0,0.0,30.0,0.0,3040.8,0.0,2020.0,0.0,0.0,0.0,0.0,1.0,0.0,3.775,3.24,3.871,2.0
61.0,43.0,6.0,34.0,5.0,6.0,1.0,1.0,1.0,25.05,39.0,56.8,32.75,51.0,1541.9,2536.1,1980.0,1.0,1.0,1.0,1.0,1.0,1.0,3.221,3.664,3.526,4.0
18.0,34.0,4.0,42.0,2.0,14.0,0.0,1.0,0.0,6.45,19.0,0.0,17.0,0.0,104.05,318.75,240.0,1.0,1.0,0.0,1.0,1.0,0.0,1.864,2.944,3.738,4.0
28.0,36.0,3.0,69.0,3.0,2.0,1.0,1.0,1.0,6.05,25.25,41.55,31.75,36.6,153.05,697.05,835.0,1.0,1.0,0.0,1.0,1.0,1.0,1.8,3.229,4.234,4.0
9.0,24.0,3.0,26.0,4.0,1.0,1.0,0.0,0.0,7.65,0.0,23.25,0.0,0.0,75.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035,3.24,3.258,1.0
53.0,57.0,25.0,37.0,1.0,7.0,0.0,1.0,0.0,7.7,0.0,0.0,9.25,0.0,363.95,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,2.041,3.24,3.611,2.0
54.0,42.0,0.0,55.0,4.0,2.0,1.0,1.0,1.0,14.3,55.5,62.15,19.25,83.7,695.2,3086.35,1050.0,1.0,1.0,1.0,1.0,1.0,1.0,2.66,4.016,4.007,4.0
65.0,65.0,27.0,128.0,3.0,24.0,0.0,1.0,0.0,21.2,24.0,0.0,14.5,0.0,1325.05,1483.55,940.0,0.0,0.0,0.0,1.0,1.0,0.0,3.054,3.178,4.852,3.0
5.0,32.0,6.0,33.0,4.0,3.0,1.0,0.0,0.0,3.2,0.0,21.6,0.0,0.0,24.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.163,3.24,3.497,1.0
16.0,27.0,5.0,37.0,3.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,80.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.792,3.24,3.611,1.0
18.0,25.0,4.0,26.0,2.0,7.0,0.0,1.0,0.0,3.3,27.5,0.0,31.0,0.0,50.35,531.1,540.0,0.0,0.0,0.0,0.0,1.0,0.0,1.194,3.314,3.258,1.0
30.0,23.0,4.0,19.0,3.0,1.0,1.0,1.0,0.0,7.9,0.0,35.2,27.5,0.0,253.05,0.0,840.0,0.0,0.0,1.0,0.0,0.0,1.0,2.067,3.24,2.944,2.0
14.0,40.0,13.0,398.0,5.0,11.0,1.0,1.0,1.0,6.4,18.0,43.1,23.75,47.7,71.0,259.0,295.0,1.0,1.0,1.0,1.0,1.0,1.0,1.856,2.89,5.986,4.0
12.0,23.0,2.0,24.0,4.0,0.0,0.0,1.0,1.0,3.2,41.0,0.0,15.75,35.4,35.5,502.0,210.0,1.0,1.0,1.0,1.0,1.0,0.0,1.163,3.714,3.178,4.0
71.0,41.0,10.0,73.0,2.0,23.0,0.0,1.0,0.0,32.65,0.0,0.0,41.75,0.0,2412.6,0.0,3085.0,0.0,0.0,0.0,1.0,0.0,0.0,3.486,3.24,4.29,3.0
19.0,32.0,12.0,71.0,4.0,5.0,1.0,1.0,1.0,5.25,21.5,62.4,17.0,47.8,97.4,419.25,275.0,1.0,1.0,1.0,1.0,1.0,1.0,1.658,3.068,4.263,4.0
43.0,29.0,4.0,33.0,1.0,13.0,0.0,1.0,1.0,22.05,18.75,0.0,7.5,24.95,1042.95,830.75,345.0,0.0,0.0,0.0,1.0,1.0,0.0,3.093,2.931,3.497,3.0
50.0,52.0,17.0,36.0,4.0,16.0,0.0,1.0,1.0,11.95,55.0,0.0,48.0,85.85,616.25,2662.1,2330.0,1.0,1.0,0.0,1.0,1.0,1.0,2.481,4.007,3.584,4.0
33.0,33.0,12.0,42.0,4.0,7.0,1.0,1.0,1.0,8.8,0.0,30.95,23.0,23.35,305.75,0.0,730.0,1.0,0.0,0.0,0.0,0.0,0.0,2.175,3.24,3.738,2.0
12.0,55.0,13.0,36.0,1.0,5.0,1.0,0.0,0.0,5.95,0.0,26.55,0.0,0.0,73.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.783,3.24,3.584,2.0
71.0,48.0,25.0,288.0,3.0,19.0,0.0,1.0,0.0,30.9,0.0,0.0,19.75,0.0,2123.6,0.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,3.431,3.24,5.663,1.0
39.0,47.0,1.0,68.0,4.0,10.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,308.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.116,3.24,4.22,2.0
72.0,62.0,35.0,163.0,5.0,31.0,1.0,1.0,1.0,28.35,32.75,45.15,39.75,56.55,2017.6,2276.3,2845.0,1.0,1.0,1.0,1.0,1.0,0.0,3.345,3.489,5.094,4.0
65.0,59.0,27.0,197.0,4.0,26.0,1.0,1.0,0.0,45.4,0.0,25.75,46.75,0.0,2973.55,0.0,3065.0,0.0,1.0,0.0,0.0,0.0,1.0,3.816,3.24,5.283,2.0
11.0,33.0,7.0,136.0,5.0,5.0,0.0,1.0,1.0,4.4,20.75,0.0,15.25,35.7,42.0,211.45,125.0,1.0,1.0,0.0,1.0,1.0,0.0,1.482,3.033,4.913,4.0
14.0,26.0,1.0,25.0,2.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,71.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.482,3.24,3.219,3.0
28.0,36.0,3.0,42.0,3.0,7.0,0.0,1.0,0.0,12.9,28.25,0.0,14.0,0.0,363.65,820.15,370.0,0.0,0.0,1.0,1.0,1.0,0.0,2.557,3.341,3.738,3.0
33.0,33.0,12.0,33.0,2.0,0.0,0.0,0.0,0.0,9.45,0.0,0.0,0.0,0.0,288.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.246,3.24,3.497,1.0
63.0,37.0,1.0,45.0,4.0,9.0,1.0,1.0,0.0,14.95,0.0,39.25,13.5,0.0,974.15,0.0,820.0,1.0,0.0,1.0,0.0,0.0,1.0,2.705,3.24,3.807,2.0
58.0,37.0,5.0,64.0,4.0,8.0,1.0,1.0,1.0,10.8,58.75,63.25,37.75,109.7,634.75,3525.55,2305.0,1.0,1.0,1.0,1.0,1.0,1.0,2.38,4.073,4.159,4.0
64.0,55.0,28.0,104.0,1.0,26.0,0.0,1.0,0.0,15.0,0.0,0.0,39.25,0.0,960.95,0.0,2360.0,0.0,0.0,0.0,0.0,1.0,0.0,2.708,3.24,4.644,3.0
29.0,26.0,7.0,34.0,1.0,7.0,0.0,1.0,0.0,6.5,0.0,0.0,16.0,0.0,198.7,0.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,1.872,3.24,3.526,3.0
14.0,36.0,13.0,67.0,5.0,4.0,1.0,0.0,0.0,14.05,0.0,25.1,0.0,0.0,187.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.643,3.24,4.205,1.0
7.0,38.0,4.0,70.0,4.0,4.0,1.0,1.0,1.0,3.85,19.25,38.35,7.0,17.7,26.65,127.5,40.0,1.0,1.0,1.0,1.0,0.0,1.0,1.348,2.958,4.248,4.0
8.0,42.0,2.0,129.0,4.0,17.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,63.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.808,3.24,4.86,1.0
56.0,50.0,1.0,80.0,2.0,24.0,0.0,1.0,1.0,28.8,55.5,0.0,21.25,61.1,1558.1,3119.45,1065.0,1.0,1.0,0.0,1.0,1.0,0.0,3.36,4.016,4.382,4.0
39.0,59.0,20.0,1668.0,4.0,27.0,0.0,0.0,0.0,8.2,15.0,0.0,0.0,0.0,303.95,595.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.104,2.708,7.419,2.0
51.0,46.0,8.0,107.0,2.0,21.0,0.0,1.0,1.0,17.3,25.75,0.0,23.0,37.4,840.0,1396.75,1155.0,0.0,1.0,0.0,1.0,1.0,0.0,2.851,3.248,4.673,3.0
43.0,43.0,3.0,55.0,4.0,18.0,1.0,1.0,1.0,9.1,40.75,48.4,16.0,50.6,422.7,1802.5,675.0,1.0,1.0,1.0,1.0,1.0,0.0,2.208,3.707,4.007,4.0
53.0,37.0,7.0,25.0,1.0,2.0,0.0,1.0,0.0,5.4,52.0,0.0,34.0,0.0,291.5,2794.95,1660.0,0.0,0.0,0.0,1.0,1.0,0.0,1.686,3.951,3.219,3.0
4.0,47.0,5.0,123.0,4.0,11.0,1.0,1.0,0.0,2.5,0.0,25.3,13.75,0.0,9.25,0.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,0.916,3.24,4.812,1.0
54.0,27.0,3.0,27.0,2.0,6.0,1.0,1.0,1.0,12.4,35.0,48.3,5.75,43.5,660.85,1919.75,315.0,1.0,1.0,1.0,1.0,1.0,1.0,2.518,3.555,3.296,4.0
3.0,24.0,2.0,20.0,2.0,3.0,0.0,1.0,0.0,3.35,22.5,0.0,9.25,0.0,7.55,49.55,15.0,1.0,0.0,1.0,1.0,1.0,0.0,1.209,3.114,2.996,3.0
42.0,40.0,7.0,37.0,2.0,8.0,1.0,1.0,1.0,8.25,23.5,36.9,28.0,37.4,399.15,950.65,1190.0,1.0,0.0,1.0,1.0,1.0,1.0,2.11,3.157,3.611,4.0
55.0,52.0,22.0,127.0,1.0,28.0,0.0,1.0,0.0,7.05,0.0,0.0,20.25,0.0,400.55,0.0,1150.0,1.0,0.0,0.0,0.0,0.0,1.0,1.953,3.24,4.844,2.0
24.0,30.0,0.0,25.0,4.0,5.0,0.0,1.0,1.0,8.7,47.75,0.0,32.75,64.0,186.6,1152.9,780.0,1.0,1.0,1.0,1.0,1.0,1.0,2.163,3.866,3.219,4.0
28.0,57.0,33.0,82.0,4.0,22.0,1.0,0.0,0.0,4.05,0.0,31.45,0.0,0.0,71.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.399,3.24,4.407,2.0
24.0,58.0,30.0,24.0,1.0,5.0,0.0,0.0,0.0,7.65,16.0,0.0,0.0,0.0,177.4,420.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035,2.773,3.178,1.0
45.0,66.0,43.0,144.0,2.0,13.0,0.0,1.0,0.0,7.75,0.0,0.0,13.0,0.0,338.8,0.0,565.0,0.0,0.0,1.0,0.0,0.0,0.0,2.048,3.24,4.97,2.0
1.0,30.0,3.0,135.0,4.0,3.0,1.0,1.0,0.0,1.1,5.75,22.8,2.75,0.0,1.1,5.75,2.75,0.0,0.0,1.0,0.0,0.0,1.0,0.095,1.749,4.905,1.0
38.0,33.0,3.0,38.0,4.0,0.0,1.0,1.0,0.0,10.95,0.0,27.2,12.25,0.0,412.8,0.0,465.0,0.0,0.0,1.0,0.0,0.0,1.0,2.393,3.24,3.638,2.0
49.0,51.0,27.0,63.0,4.0,19.0,0.0,1.0,0.0,12.85,25.75,0.0,14.25,0.0,585.6,1278.45,635.0,0.0,0.0,1.0,1.0,0.0,1.0,2.553,3.248,4.143,2.0
35.0,34.0,7.0,78.0,4.0,10.0,0.0,1.0,0.0,13.9,0.0,0.0,4.5,0.0,556.2,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,2.632,3.24,4.357,1.0
39.0,24.0,2.0,26.0,2.0,4.0,0.0,1.0,0.0,10.4,0.0,0.0,12.5,0.0,403.5,0.0,480.0,0.0,0.0,0.0,0.0,0.0,1.0,2.342,3.24,3.258,1.0
6.0,32.0,10.0,47.0,1.0,10.0,0.0,1.0,0.0,3.85,23.75,0.0,12.5,0.0,29.9,128.45,80.0,0.0,0.0,0.0,1.0,1.0,0.0,1.348,3.168,3.85,3.0
26.0,30.0,4.0,76.0,3.0,7.0,1.0,0.0,0.0,9.45,0.0,29.2,0.0,0.0,214.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.246,3.24,4.331,1.0
20.0,32.0,10.0,19.0,3.0,5.0,1.0,0.0,0.0,6.85,0.0,36.05,0.0,0.0,106.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.924,3.24,2.944,2.0
11.0,63.0,9.0,41.0,3.0,3.0,1.0,0.0,0.0,4.15,0.0,29.9,0.0,0.0,46.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.423,3.24,3.714,1.0
72.0,75.0,48.0,14.0,2.0,6.0,0.0,1.0,0.0,37.3,0.0,0.0,109.25,0.0,2686.25,0.0,7515.0,0.0,0.0,0.0,0.0,0.0,0.0,3.619,3.24,2.639,2.0
10.0,33.0,2.0,66.0,3.0,9.0,0.0,1.0,0.0,7.1,21.25,0.0,25.25,0.0,59.3,241.8,220.0,0.0,0.0,1.0,0.0,0.0,0.0,1.96,3.056,4.19,1.0
9.0,21.0,1.0,17.0,2.0,2.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.065,3.24,2.833,1.0
25.0,30.0,0.0,20.0,1.0,4.0,0.0,1.0,0.0,8.55,21.75,0.0,15.5,0.0,215.95,522.15,370.0,0.0,0.0,0.0,1.0,1.0,0.0,2.146,3.08,2.996,3.0
37.0,76.0,38.0,117.0,4.0,21.0,0.0,1.0,0.0,7.5,0.0,0.0,6.25,0.0,273.7,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015,3.24,4.762,1.0
30.0,28.0,1.0,20.0,1.0,8.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,369.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.518,3.24,2.996,1.0
52.0,62.0,23.0,36.0,4.0,17.0,0.0,1.0,0.0,13.35,18.5,0.0,18.5,0.0,709.25,978.85,915.0,0.0,0.0,0.0,0.0,1.0,0.0,2.592,2.918,3.584,1.0
64.0,37.0,10.0,44.0,4.0,9.0,1.0,1.0,0.0,16.15,0.0,35.05,22.0,0.0,965.3,0.0,1350.0,1.0,0.0,0.0,0.0,0.0,1.0,2.782,3.24,3.784,2.0
13.0,43.0,1.0,123.0,3.0,21.0,1.0,1.0,0.0,3.85,23.0,33.05,6.75,0.0,55.05,317.5,75.0,0.0,1.0,1.0,1.0,0.0,1.0,1.348,3.135,4.812,4.0
18.0,69.0,11.0,58.0,3.0,8.0,1.0,1.0,1.0,6.35,27.25,53.95,11.75,63.0,118.05,454.05,175.0,1.0,1.0,1.0,1.0,1.0,1.0,1.848,3.305,4.06,4.0
15.0,35.0,5.0,34.0,3.0,8.0,1.0,0.0,0.0,5.15,0.0,25.55,0.0,0.0,110.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.639,3.24,3.526,2.0
69.0,42.0,23.0,19.0,3.0,0.0,1.0,1.0,0.0,25.95,0.0,36.9,18.75,0.0,1812.15,0.0,1270.0,0.0,0.0,1.0,0.0,0.0,1.0,3.256,3.24,2.944,1.0
16.0,54.0,20.0,147.0,1.0,29.0,0.0,1.0,0.0,6.95,23.25,0.0,6.5,0.0,98.5,357.95,90.0,0.0,0.0,0.0,1.0,1.0,0.0,1.939,3.146,4.99,3.0
60.0,53.0,22.0,171.0,1.0,37.0,0.0,1.0,0.0,9.9,31.75,0.0,18.0,0.0,608.65,1972.1,1070.0,0.0,0.0,0.0,1.0,1.0,0.0,2.293,3.458,5.142,3.0
10.0,34.0,1.0,52.0,5.0,3.0,1.0,0.0,1.0,4.3,0.0,32.55,0.0,25.4,47.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.459,3.24,3.951,2.0
57.0,60.0,20.0,14.0,2.0,27.0,0.0,1.0,0.0,16.1,14.0,0.0,11.75,0.0,938.65,822.35,630.0,0.0,0.0,0.0,1.0,1.0,0.0,2.779,2.639,2.639,3.0
17.0,41.0,9.0,28.0,4.0,3.0,0.0,1.0,0.0,1.8,0.0,0.0,10.0,0.0,27.1,0.0,140.0,0.0,0.0,0.0,1.0,0.0,0.0,0.588,3.24,3.332,1.0
17.0,42.0,6.0,31.0,2.0,2.0,0.0,0.0,1.0,8.25,24.5,0.0,0.0,26.4,140.85,404.8,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.11,3.199,3.434,4.0
16.0,50.0,5.0,263.0,2.0,29.0,1.0,0.0,1.0,3.75,17.0,31.95,0.0,21.9,59.75,253.35,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.322,2.833,5.572,3.0
12.0,64.0,13.0,9.0,2.0,6.0,1.0,1.0,0.0,3.8,30.0,32.8,8.5,0.0,52.85,317.75,95.0,0.0,0.0,1.0,1.0,1.0,1.0,1.335,3.401,2.197,3.0
10.0,28.0,9.0,75.0,4.0,1.0,1.0,1.0,1.0,6.2,27.5,42.4,40.0,36.3,45.95,225.85,340.0,1.0,1.0,1.0,1.0,1.0,1.0,1.825,3.314,4.317,4.0
56.0,53.0,23.0,100.0,5.0,14.0,1.0,1.0,0.0,14.15,0.0,34.2,9.5,0.0,752.9,0.0,560.0,1.0,0.0,1.0,0.0,0.0,1.0,2.65,3.24,4.605,2.0
25.0,38.0,19.0,56.0,1.0,19.0,1.0,1.0,1.0,10.55,0.0,31.95,32.75,23.65,290.25,0.0,770.0,1.0,0.0,0.0,0.0,1.0,0.0,2.356,3.24,4.025,3.0
45.0,30.0,0.0,63.0,5.0,4.0,1.0,1.0,1.0,7.1,40.75,39.75,16.5,50.85,314.8,1849.5,775.0,1.0,1.0,1.0,1.0,1.0,1.0,1.96,3.707,4.143,4.0
45.0,22.0,2.0,36.0,4.0,0.0,1.0,0.0,0.0,9.95,14.75,26.15,0.0,0.0,412.1,663.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.298,2.691,3.584,2.0
17.0,42.0,6.0,131.0,5.0,6.0,1.0,0.0,1.0,5.8,0.0,35.35,0.0,21.65,103.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.758,3.24,4.875,2.0
58.0,36.0,13.0,39.0,2.0,8.0,0.0,1.0,1.0,16.4,38.25,0.0,55.5,57.05,933.1,2355.4,3145.0,1.0,1.0,1.0,1.0,1.0,1.0,2.797,3.644,3.664,4.0
64.0,25.0,4.0,76.0,3.0,2.0,1.0,1.0,0.0,24.05,0.0,35.4,21.25,0.0,1536.55,0.0,1400.0,0.0,0.0,0.0,0.0,1.0,1.0,3.18,3.24,4.331,3.0
17.0,39.0,12.0,45.0,4.0,10.0,1.0,0.0,0.0,8.65,0.0,28.95,0.0,0.0,133.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.158,3.24,3.807,1.0
1.0,21.0,1.0,18.0,3.0,0.0,1.0,0.0,0.0,2.7,0.0,32.7,0.0,0.0,2.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.993,3.24,2.89,1.0
19.0,35.0,7.0,58.0,3.0,5.0,1.0,1.0,1.0,3.65,37.0,40.3,21.25,43.05,65.15,690.85,385.0,1.0,1.0,1.0,1.0,1.0,0.0,1.295,3.611,4.06,4.0
55.0,44.0,24.0,83.0,1.0,23.0,0.0,1.0,0.0,17.35,24.5,0.0,14.25,0.0,973.1,1343.5,720.0,0.0,0.0,0.0,0.0,1.0,0.0,2.854,3.199,4.419,3.0
28.0,40.0,7.0,64.0,1.0,19.0,0.0,0.0,0.0,6.0,27.5,0.0,0.0,0.0,167.65,722.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.792,3.314,4.159,3.0
58.0,58.0,10.0,96.0,2.0,17.0,0.0,0.0,0.0,12.5,23.0,0.0,0.0,0.0,710.8,1345.95,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.526,3.135,4.564,3.0
4.0,24.0,1.0,17.0,2.0,2.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.163,3.24,2.833,1.0
33.0,54.0,18.0,57.0,4.0,4.0,1.0,0.0,0.0,7.5,30.25,33.9,0.0,0.0,226.25,1105.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.015,3.409,4.043,3.0
56.0,42.0,10.0,24.0,2.0,5.0,0.0,0.0,0.0,33.65,0.0,0.0,0.0,0.0,1871.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.516,3.24,3.178,3.0
53.0,22.0,1.0,25.0,4.0,0.0,1.0,1.0,0.0,12.05,0.0,27.15,6.5,0.0,666.0,0.0,335.0,0.0,0.0,1.0,0.0,0.0,1.0,2.489,3.24,3.219,2.0
71.0,53.0,29.0,48.0,4.0,0.0,0.0,1.0,0.0,34.95,28.75,0.0,36.0,0.0,2506.05,2074.75,2560.0,0.0,0.0,0.0,1.0,1.0,0.0,3.554,3.359,3.871,3.0
39.0,34.0,4.0,20.0,5.0,3.0,1.0,1.0,1.0,9.55,21.25,59.2,10.0,79.2,375.4,872.5,385.0,1.0,1.0,1.0,1.0,1.0,1.0,2.257,3.056,2.996,4.0
7.0,23.0,3.0,27.0,2.0,1.0,0.0,1.0,0.0,3.65,9.5,0.0,7.0,0.0,21.0,76.05,55.0,0.0,0.0,0.0,1.0,0.0,0.0,1.295,2.251,3.296,1.0
8.0,22.0,3.0,25.0,4.0,0.0,0.0,1.0,1.0,8.0,32.25,0.0,18.25,19.45,61.55,264.0,155.0,1.0,0.0,0.0,1.0,1.0,0.0,2.079,3.474,3.219,3.0
26.0,30.0,9.0,18.0,4.0,1.0,0.0,1.0,0.0,7.25,25.5,0.0,32.5,0.0,171.85,688.35,840.0,1.0,1.0,0.0,1.0,1.0,0.0,1.981,3.239,2.89,4.0
